tail_no,aircraft_class,leg,from,to,distance_km,pax,depart_min,duration_min,soc_after_pct
AT-01,4seat,1,CHT,IKA,38.8,4,0.0,7.2,79.5
AT-01,4seat,2,IKA,TAJ,50.8,4,12.2,9.5,52.7
AT-01,4seat,3,TAJ,PSD,7.1,4,26.7,1.3,48.9
AT-01,4seat,4,PSD,TAJ,7.1,4,33.0,1.3,45.1
AT-01,4seat,5,TAJ,PSD,7.1,4,39.4,1.3,41.4
AT-01,4seat,6,PSD,TAJ,7.1,4,45.7,1.3,37.6
AT-01,4seat,7,TAJ,PSD,7.1,4,52.0,1.3,33.8
AT-01,4seat,8,PSD,TAJ,7.1,4,58.3,1.3,30.1
AT-01,4seat,9,TAJ,PSD,7.1,4,64.7,1.3,26.3
AT-01,4seat,10,PSD,TAJ,7.1,4,71.0,1.3,22.5
AT-01,4seat,11,TAJ,PSD,7.1,4,77.3,1.3,18.8
AT-01,4seat,12,PSD,TAJ,7.1,4,83.7,1.3,15.0
AT-01,4seat,13,TAJ,CHT,22.1,4,90.0,4.1,26.7
AT-01,4seat,14,CHT,TAJ,22.1,4,103.3,4.1,15.0
AT-01,4seat,15,TAJ,CHT,22.1,4,112.5,4.1,26.7
AT-01,4seat,16,CHT,TAJ,22.1,4,125.8,4.1,15.0
AT-01,4seat,17,TAJ,CHT,22.1,4,134.9,4.1,26.7
AT-01,4seat,18,CHT,TAJ,22.1,4,148.2,4.1,15.0
AT-01,4seat,19,TAJ,CHT,22.1,4,157.4,4.1,26.7
AT-01,4seat,20,CHT,TAJ,22.1,4,170.7,4.1,15.0
AT-02,4seat,1,THR,IKA,35.4,4,0.0,6.6,81.3
AT-02,4seat,2,IKA,TAJ,50.8,4,11.6,9.5,54.5
AT-02,4seat,3,TAJ,CHT,22.1,4,26.1,4.1,42.8
AT-02,4seat,4,CHT,PSD,26.3,4,35.2,4.9,28.9
AT-02,4seat,5,PSD,CHT,26.3,4,45.1,4.9,28.9
AT-02,4seat,6,CHT,PSD,26.3,4,57.5,4.9,15.0
AT-02,4seat,7,PSD,CHT,26.3,4,67.4,4.9,28.9
AT-02,4seat,8,CHT,PSD,26.3,4,82.3,4.9,15.0
AT-02,4seat,9,PSD,CHT,26.3,4,92.2,4.9,28.9
AT-02,4seat,10,CHT,PSD,26.3,4,107.1,4.9,15.0
AT-02,4seat,11,PSD,CHT,26.3,4,117.0,4.9,28.9
AT-02,4seat,12,CHT,PSD,26.3,4,131.9,4.9,15.0
AT-02,4seat,13,PSD,CHT,26.3,4,141.8,4.9,28.9
AT-02,4seat,14,CHT,PSD,26.3,4,156.7,4.9,15.0
AT-02,4seat,15,PSD,CHT,26.3,4,166.6,4.9,28.9
AT-02,4seat,16,CHT,PSD,26.3,4,181.5,4.9,15.0
AT-02,4seat,17,PSD,CHT,26.3,4,191.4,4.9,28.9
AT-02,4seat,18,CHT,PSD,26.3,4,206.3,4.9,15.0
AT-02,4seat,19,PSD,CHT,26.3,4,216.2,4.9,22.4
AT-02,4seat,20,CHT,THR,14.0,4,229.9,2.6,15.0
AT-03,4seat,1,IKA,CHT,38.8,4,0.0,7.2,79.5
AT-03,4seat,2,CHT,PSD,26.3,4,12.2,4.9,65.6
AT-03,4seat,3,PSD,CHT,26.3,4,22.1,4.9,51.7
AT-03,4seat,4,CHT,PSD,26.3,4,32.0,4.9,37.8
AT-03,4seat,5,PSD,CHT,26.3,4,41.9,4.9,30.6
AT-03,4seat,6,CHT,THR,14.0,4,53.0,2.6,23.2
AT-03,4seat,7,THR,TAJ,15.5,4,60.7,2.9,15.0
AT-03,4seat,8,TAJ,CHT,22.1,4,68.6,4.1,26.7
AT-03,4seat,9,CHT,TAJ,22.1,4,81.9,4.1,15.0
AT-03,4seat,10,TAJ,CHT,22.1,4,91.0,4.1,26.7
AT-03,4seat,11,CHT,TAJ,22.1,4,104.3,4.1,15.0
AT-03,4seat,12,TAJ,CHT,22.1,4,113.5,4.1,26.7
AT-03,4seat,13,CHT,TAJ,22.1,4,126.8,4.1,15.0
AT-03,4seat,14,TAJ,CHT,22.1,4,135.9,4.1,26.7
AT-03,4seat,15,CHT,TAJ,22.1,4,149.2,4.1,15.0
AT-03,4seat,16,TAJ,CHT,22.1,4,158.4,4.1,26.7
AT-03,4seat,17,CHT,TAJ,22.1,4,171.7,4.1,15.0
AT-03,4seat,18,TAJ,THR,15.5,4,180.8,2.9,23.2
AT-03,4seat,19,THR,TAJ,15.5,4,191.7,2.9,15.0
AT-03,4seat,20,TAJ,THR,15.5,4,199.6,2.9,15.0
AT-04,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-04,4seat,2,KRJ,THR,36.8,4,22.3,6.9,31.6
AT-04,4seat,3,THR,TAJ,15.5,4,34.1,2.9,23.4
AT-04,4seat,4,TAJ,THR,15.5,4,42.0,2.9,23.2
AT-04,4seat,5,THR,TAJ,15.5,4,51.3,2.9,15.0
AT-04,4seat,6,TAJ,THR,15.5,4,59.2,2.9,23.2
AT-04,4seat,7,THR,TAJ,15.5,4,70.1,2.9,15.0
AT-04,4seat,8,TAJ,THR,15.5,4,78.0,2.9,48.9
AT-04,4seat,9,THR,CHT,14.0,4,93.5,2.6,41.5
AT-04,4seat,10,CHT,THR,14.0,4,101.1,2.6,34.1
AT-04,4seat,11,THR,CHT,14.0,4,108.7,2.6,26.7
AT-04,4seat,12,CHT,TAJ,22.1,4,116.3,4.1,15.0
AT-04,4seat,13,TAJ,IKA,50.8,4,125.5,9.5,15.0
AT-04,4seat,14,IKA,TAJ,50.8,4,144.7,9.5,15.0
AT-04,4seat,15,TAJ,IKA,50.8,4,164.0,9.5,15.0
AT-04,4seat,16,IKA,TAJ,50.8,4,183.3,9.5,15.0
AT-04,4seat,17,TAJ,IKA,50.8,4,202.5,9.5,15.0
AT-04,4seat,18,IKA,CHT,38.8,4,221.8,7.2,15.0
AT-05,4seat,1,IKA,THR,35.4,4,0.0,6.6,81.3
AT-05,4seat,2,THR,IKA,35.4,4,11.6,6.6,62.6
AT-05,4seat,3,IKA,THR,35.4,4,23.2,6.6,43.9
AT-05,4seat,4,THR,IKA,35.4,4,34.8,6.6,25.2
AT-05,4seat,5,IKA,THR,35.4,4,46.4,6.6,33.7
AT-05,4seat,6,THR,IKA,35.4,4,62.9,6.6,15.0
AT-05,4seat,7,IKA,THR,35.4,4,74.5,6.6,33.7
AT-05,4seat,8,THR,IKA,35.4,4,92.8,6.6,15.0
AT-05,4seat,9,IKA,THR,35.4,4,104.4,6.6,33.7
AT-05,4seat,10,THR,IKA,35.4,4,122.7,6.6,15.0
AT-05,4seat,11,IKA,THR,35.4,4,134.3,6.6,33.7
AT-05,4seat,12,THR,IKA,35.4,4,152.6,6.6,15.0
AT-05,4seat,13,IKA,THR,35.4,4,164.2,6.6,33.7
AT-05,4seat,14,THR,IKA,35.4,4,182.5,6.6,15.0
AT-05,4seat,15,IKA,THR,35.4,4,194.0,6.6,33.7
AT-05,4seat,16,THR,IKA,35.4,4,212.3,6.6,15.0
AT-05,4seat,17,IKA,THR,35.4,4,223.9,6.6,15.0
AT-06,4seat,1,IKA,CHT,38.8,4,0.0,7.2,79.5
AT-06,4seat,2,CHT,IKA,38.8,4,12.2,7.2,59.0
AT-06,4seat,3,IKA,CHT,38.8,4,24.5,7.2,38.5
AT-06,4seat,4,CHT,IKA,38.8,4,36.7,7.2,18.0
AT-06,4seat,5,IKA,CHT,38.8,2,48.9,7.2,35.5
AT-06,4seat,6,CHT,IKA,38.8,4,68.0,7.2,15.0
AT-06,4seat,7,IKA,CHT,38.8,4,80.2,7.2,35.5
AT-06,4seat,8,CHT,IKA,38.8,4,99.8,7.2,15.0
AT-06,4seat,9,IKA,CHT,38.8,4,112.1,7.2,35.5
AT-06,4seat,10,CHT,IKA,38.8,2,131.7,7.2,15.0
AT-06,4seat,11,IKA,CHT,38.8,4,144.0,7.2,35.5
AT-06,4seat,12,CHT,IKA,38.8,4,163.6,7.2,15.0
AT-06,4seat,13,IKA,THR,35.4,4,175.8,6.6,33.7
AT-06,4seat,14,THR,IKA,35.4,4,194.1,6.6,15.0
AT-06,4seat,15,IKA,THR,35.4,4,205.7,6.6,33.7
AT-06,4seat,16,THR,IKA,35.4,4,224.0,6.6,15.0
AT-07,4seat,1,THR,IKA,35.4,4,0.0,6.6,81.3
AT-07,4seat,2,IKA,THR,35.4,4,11.6,6.6,62.6
AT-07,4seat,3,THR,IKA,35.4,4,23.2,6.6,43.9
AT-07,4seat,4,IKA,THR,35.4,4,34.8,6.6,33.7
AT-07,4seat,5,THR,IKA,35.4,4,47.9,6.6,15.0
AT-07,4seat,6,IKA,THR,35.4,4,59.5,6.6,33.7
AT-07,4seat,7,THR,IKA,35.4,4,77.8,6.6,15.0
AT-07,4seat,8,IKA,THR,35.4,4,89.4,6.6,33.7
AT-07,4seat,9,THR,IKA,35.4,4,107.7,6.6,15.0
AT-07,4seat,10,IKA,THR,35.4,4,119.3,6.6,33.7
AT-07,4seat,11,THR,IKA,35.4,4,137.6,6.6,15.0
AT-07,4seat,12,IKA,THR,35.4,4,149.2,6.6,33.7
AT-07,4seat,13,THR,IKA,35.4,4,167.5,6.6,15.0
AT-07,4seat,14,IKA,THR,35.4,4,179.1,6.6,33.7
AT-07,4seat,15,THR,IKA,35.4,4,197.3,6.6,15.0
AT-08,4seat,1,THR,IKA,35.4,4,0.0,6.6,81.3
AT-08,4seat,2,IKA,TAJ,50.8,4,11.6,9.5,54.5
AT-08,4seat,3,TAJ,IKA,50.8,4,26.1,9.5,27.7
AT-08,4seat,4,IKA,TAJ,50.8,4,40.5,9.5,15.0
AT-08,4seat,5,TAJ,IKA,50.8,4,57.5,9.5,15.0
AT-08,4seat,6,IKA,TAJ,50.8,4,76.7,9.5,15.0
AT-08,4seat,7,TAJ,IKA,50.8,4,96.0,9.5,15.0
AT-08,4seat,8,IKA,TAJ,50.8,4,115.3,9.5,15.0
AT-08,4seat,9,TAJ,IKA,50.8,4,134.5,9.5,15.0
AT-08,4seat,10,IKA,TAJ,50.8,4,153.8,9.5,15.0
AT-08,4seat,11,TAJ,IKA,50.8,4,173.1,9.5,15.0
AT-08,4seat,12,IKA,TAJ,50.8,4,192.3,9.5,15.0
AT-08,4seat,13,TAJ,IKA,50.8,4,211.6,9.5,15.0
AT-09,4seat,1,THR,CHT,14.0,4,0.0,2.6,92.6
AT-09,4seat,2,CHT,THR,14.0,4,7.6,2.6,85.2
AT-09,4seat,3,THR,CHT,14.0,4,15.2,2.6,77.8
AT-09,4seat,4,CHT,THR,14.0,4,22.8,2.6,70.4
AT-09,4seat,5,THR,CHT,14.0,4,30.5,2.6,63.0
AT-09,4seat,6,CHT,THR,14.0,4,38.1,2.6,55.6
AT-09,4seat,7,THR,CHT,14.0,4,45.7,2.6,48.1
AT-09,4seat,8,CHT,THR,14.0,4,53.3,2.6,40.7
AT-09,4seat,9,THR,CHT,14.0,4,60.9,2.6,33.3
AT-09,4seat,10,CHT,THR,14.0,4,68.5,2.6,25.9
AT-09,4seat,11,THR,CHT,14.0,4,76.1,2.6,18.5
AT-10,4seat,1,IKA,THR,35.4,4,0.0,6.6,81.3
AT-10,4seat,2,THR,CHT,14.0,4,11.6,2.6,73.9
AT-10,4seat,3,CHT,THR,14.0,4,19.2,2.6,66.5
AT-10,4seat,4,THR,CHT,14.0,4,26.8,2.6,59.1
AT-10,4seat,5,CHT,THR,14.0,4,34.4,2.6,51.7
AT-10,4seat,6,THR,KRJ,36.8,4,42.1,6.9,32.3
AT-11,4seat,1,KRJ,IKA,50.7,4,0.0,9.4,73.2
AT-11,4seat,2,IKA,THR,35.4,4,14.4,6.6,73.2
AT-11,4seat,3,THR,KRJ,36.8,4,29.4,6.9,53.8
AT-11,4seat,4,KRJ,THR,36.8,4,41.3,6.9,34.4
AT-11,4seat,5,THR,KRJ,36.8,4,53.2,6.9,15.0
AT-12,4seat,1,THR,KRJ,36.8,4,0.0,6.9,80.6
AT-12,4seat,2,KRJ,THR,36.8,4,11.9,6.9,61.2
AT-12,4seat,3,THR,KRJ,36.8,4,23.7,6.9,41.8
AT-12,4seat,4,KRJ,THR,36.8,4,35.6,6.9,22.3
AT-13,4seat,1,TAJ,IKA,50.8,4,0.0,9.5,73.2
AT-13,4seat,2,IKA,KRJ,50.7,4,14.5,9.4,53.8
AT-13,4seat,3,KRJ,THR,36.8,4,30.2,6.9,34.4
AT-13,4seat,4,THR,KRJ,36.8,4,42.1,6.9,15.0
AT-14,4seat,1,IKA,KRJ,50.7,4,0.0,9.4,73.2
AT-14,4seat,2,KRJ,IKA,50.7,4,14.4,9.4,46.5
AT-14,4seat,3,IKA,KRJ,50.7,4,28.9,9.4,41.8
AT-14,4seat,4,KRJ,IKA,50.7,4,47.3,9.4,15.0
AT-15,4seat,1,IKA,KRJ,50.7,4,0.0,9.4,73.2
AT-15,4seat,2,KRJ,IKA,50.7,4,14.4,9.4,46.5
AT-15,4seat,3,IKA,KRJ,50.7,4,28.9,9.4,41.8
AT-15,4seat,4,KRJ,IKA,50.7,4,47.3,9.4,15.0
AT-16,4seat,1,KRJ,THR,36.8,4,0.0,6.9,80.6
AT-16,4seat,2,THR,KRJ,36.8,4,11.9,6.9,61.2
AT-16,4seat,3,KRJ,THR,36.8,4,23.7,6.9,41.8
AT-16,4seat,4,THR,KRJ,36.8,4,35.6,6.9,22.3
AT-17,4seat,1,IKA,KRJ,50.7,4,0.0,9.4,73.2
AT-17,4seat,2,KRJ,IKA,50.7,4,14.4,9.4,46.5
AT-17,4seat,3,IKA,KRJ,50.7,4,28.9,9.4,41.8
AT-17,4seat,4,KRJ,IKA,50.7,4,47.3,9.4,15.0
AT-18,4seat,1,THR,KRJ,36.8,4,0.0,6.9,80.6
AT-18,4seat,2,KRJ,IKA,50.7,4,11.9,9.4,53.8
AT-18,4seat,3,IKA,KRJ,50.7,4,26.3,9.4,27.0
AT-19,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-19,4seat,2,KRJ,THR,36.8,4,22.3,6.9,31.6
AT-20,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-20,4seat,2,KRJ,IKA,50.7,4,22.3,9.4,24.3
AT-21,4seat,1,IKA,KRJ,50.7,4,0.0,9.4,73.2
AT-21,4seat,2,KRJ,QZV,92.7,4,14.4,17.3,24.3
AT-22,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-22,4seat,2,KRJ,THR,36.8,4,22.3,6.9,31.6
AT-23,4seat,1,THR,KRJ,36.8,4,0.0,6.9,80.6
AT-23,4seat,2,KRJ,QZV,92.7,4,11.9,17.3,31.6
AT-24,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-24,4seat,2,KRJ,THR,36.8,4,22.3,6.9,31.6
AT-25,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-25,4seat,2,KRJ,IKA,50.7,4,22.3,9.4,24.3
AT-26,4seat,1,IKA,KRJ,50.7,4,0.0,9.4,73.2
AT-26,4seat,2,KRJ,QZV,92.7,4,14.4,17.3,24.3
AT-27,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-28,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-29,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-30,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-31,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-32,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-33,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-34,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-35,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-36,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-37,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-38,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-39,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-40,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-41,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-42,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-43,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-44,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-45,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-46,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-47,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-48,4seat,1,CHT,IKA,38.8,4,0.0,7.2,79.5
